Фото,Товар,Бренд,Категория,Артикул,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://basket-16.wbbasket.ru/vol2454/part245464/245464988/images/c246x328/1.webp,Капли для глаз Секрет бобра,Сашера-мед,Капли для глаз увлажняющие,245464988,30 531 ₽,76 шт.,"34 452,00 ₽",83 шт.,441 ₽,368 ₽,"394,53 ₽"
https://basket-17.wbbasket.ru/vol2716/part271609/271609228/images/c246x328/1.webp,Уличная гирлянда нить роса 100м,Luazon Lighting,Гирлянды интерьерные,271609228,149 076 ₽,76 шт.,"44 546,00 ₽",21 шт.,2 052 ₽,1 952 ₽,"1 989,95 ₽"
https://basket-17.wbbasket.ru/vol2761/part276101/276101275/images/c246x328/1.webp,Значок СССР кгб,Сималенд,Значки,276101275,12 177 ₽,76 шт.,"0,00 ₽",0 шт.,218 ₽,141 ₽,"177,20 ₽"
https://basket-17.wbbasket.ru/vol2725/part272505/272505219/images/c246x328/1.webp,Муляж Московский рогалик,Take it easy,Декор для творчества,272505219,28 286 ₽,76 шт.,"0,00 ₽",0 шт.,431 ₽,354 ₽,"381,83 ₽"
https://basket-16.wbbasket.ru/vol2527/part252714/252714603/images/c246x328/1.webp,"Колесо мебельное поворотное, d=38 мм, набор 4 шт",Тундра,Колеса мебельные,252714603,10 056 ₽,76 шт.,"0,00 ₽",0 шт.,173 ₽,132 ₽,"141,88 ₽"
https://basket-15.wbbasket.ru/vol2359/part235961/235961074/images/c246x328/1.webp,Удобрение минеральное Рост и развитие,JOY (бытовая химия),Удобрения для растений,235961074,10 292 ₽,76 шт.,"11 138,00 ₽",81 шт.,143 ₽,124 ₽,"136,36 ₽"
https://basket-24.wbbasket.ru/vol4315/part431575/431575113/images/c246x328/1.webp,Альбом для рисования Зверье мое,Hatber,Альбомы для творчества,431575113,13 243 ₽,76 шт.,"13 118,00 ₽",71 шт.,199 ₽,169 ₽,"182,72 ₽"
https://basket-15.wbbasket.ru/vol2272/part227222/227222057/images/c246x328/1.webp,Набор корзин плетеных,Сималенд,Корзинки,227222057,49 033 ₽,76 шт.,"40 113,00 ₽",61 шт.,673 ₽,624 ₽,"649,20 ₽"
https://basket-14.wbbasket.ru/vol2099/part209963/209963265/images/c246x328/1.webp,Ободок для волос Любава,Queen fair,Ободки,209963265,9 057 ₽,76 шт.,"4 763,00 ₽",39 шт.,130 ₽,112 ₽,"122,32 ₽"
https://basket-04.wbbasket.ru/vol635/part63570/63570670/images/c246x328/1.webp,"Корабль фигурка, сувенир в подарок",Сималенд,Фигурки,63570670,219 426 ₽,75 шт.,"15 087,00 ₽",5 шт.,2 974 ₽,2 813 ₽,"2 866,69 ₽"
https://basket-25.wbbasket.ru/vol4496/part449677/449677454/images/c246x328/1.webp,Набор маркеров акриловых 18 цветов,Сималенд,Маркеры,449677454,22 002 ₽,75 шт.,"9 456,00 ₽",32 шт.,341 ₽,290 ₽,"315,61 ₽"
https://basket-11.wbbasket.ru/vol1637/part163798/163798090/images/c246x328/1.webp,Мебельная ручка-скоба 192 мм,Тундра,Ручки мебельные,163798090,5 196 ₽,75 шт.,"0,00 ₽",0 шт.,77 ₽,64 ₽,"68,31 ₽"
https://basket-10.wbbasket.ru/vol1515/part151518/151518051/images/c246x328/1.webp,Шапка - ушанка для бани Серп и молот,Добропаровъ,Шапки для бани,151518051,22 672 ₽,75 шт.,"12 334,00 ₽",40 шт.,336 ₽,277 ₽,"313,43 ₽"
https://basket-17.wbbasket.ru/vol2738/part273855/273855464/images/c246x328/1.webp,Игрушка световая Звезда золотистая,Luazon Lighting,Елочные украшения,273855464,23 106 ₽,75 шт.,"4 260,00 ₽",12 шт.,341 ₽,275 ₽,"295,19 ₽"
https://basket-23.wbbasket.ru/vol4019/part401962/401962115/images/c246x328/1.webp,Парфюмерный шприц для перелива духов 5 мл,ONLITOP,Атомайзеры,401962115,9 666 ₽,75 шт.,"9 099,00 ₽",69 шт.,143 ₽,120 ₽,"129,44 ₽"
https://basket-04.wbbasket.ru/vol700/part70054/70054000/images/c246x328/1.webp,"Фляга пищевая, 40 л, горловина 18.5 см",Радиан,Емкости для воды садовые,70054000,127 098 ₽,75 шт.,"5 842,00 ₽",3 шт.,1 889 ₽,1 506 ₽,"1 653,36 ₽"
https://basket-18.wbbasket.ru/vol2894/part289440/289440988/images/c246x328/1.webp,Оберег-домовой Кузя в кепке 26х15х12 см,Сималенд,Обереги,289440988,43 716 ₽,75 шт.,"19 701,00 ₽",32 шт.,592 ₽,550 ₽,"579,79 ₽"
