Фото,Товар,Бренд,Артикул,Предмет,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://cdn1.ozone.ru/s3/multimedia-1-2/7065596486.jpg,"Музыка ветра ""Спокойство"" алюминий 10*10*65 см",Sima-land,340053198,интерьерное украшение,1 319 ₽,1 шт.,"0,00 ₽",0 шт.,1 661 ₽,1 253 ₽,"1 357,70 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-0/7112921112.jpg,"Зажим для кардигана ""Ягоды"", цвет малиновый в золоте",Queen Fair,1172697331,брошь,1 319 ₽,4 шт.,"0,00 ₽",0 шт.,376 ₽,239 ₽,"332,67 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-7/7996108723.jpg,"Аксессуар на панель, гравитационные кольца, вращается от солнца, золото",Сима-ленд,266528518,игрушка в салон автомобиля,1 319 ₽,2 шт.,"0,00 ₽",0 шт.,881 ₽,643 ₽,"716,00 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-q/7886365226.jpg,"Сейф книга, шкатулка / ""Цветник"" 21х13х5 / шкатулка для денег",Сима-ленд,863173934,шкатулка,1 315 ₽,2 шт.,"16 297,00 ₽",26 шт.,712 ₽,599 ₽,"670,59 ₽"
https://cdn1.ozone.ru/s3/multimedia-g/6612643564.jpg,"Молоток сварщика ТУНДРА, шлакоотбойный, обрезиненная рукоятка, 500 г",Тундра,921714550,молоток,1 313 ₽,3 шт.,"10 578,00 ₽",22 шт.,447 ₽,407 ₽,"426,64 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-o/6944156016.jpg,Свечи чайные / 100 шт чайные свечи без запаха,Богатство аромата,526311679,свеча,1 308 ₽,2 шт.,"0,00 ₽",0 шт.,850 ₽,578 ₽,"676,83 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-l/7102616385.jpg,"Набор 7в1: фляжка 8 oz, с гербом, 4 рюмки, воронка, шахматы, 18х24 см",,309449773,подарочный набор,1 299 ₽,1 шт.,"0,00 ₽",0 шт.,1 607 ₽,1 295 ₽,"1 372,94 ₽"
https://cdn1.ozone.ru/s3/multimedia-r/6869278179.jpg,"Пуллер для молнии, съёмный, 4,4 * 1,6 см, 10 шт, цвет чёрный",Арт Узор,1185418422,застежка для одежды,1 298 ₽,8 шт.,"470,00 ₽",1 шт.,172 ₽,160 ₽,"167,90 ₽"
https://cdn1.ozone.ru/s3/multimedia-b/6037693955.jpg,"Шкатулка 2 отделения под часы и бижутерию ""Стиль"" коричневая 10,5х7х19,2 см",,1116435101,шкатулка,1 297 ₽,1 шт.,"481,00 ₽",0 шт.,1 753 ₽,1 163 ₽,"1 426,62 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-u/7835713050.jpg,"Топор кованый Тундра 1400 г, деревянное топорище А2",Тундра,801365179,топор,1 288 ₽,1 шт.,"0,00 ₽",0 шт.,1 679 ₽,1 224 ₽,"1 363,87 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-c/8121860040.jpg,"Гирлянда на елку, бусы 2,7 м ""Ледяные шарики"" 7.5 мм",Зимнее волшебство,2208757383,елочные украшения,1 288 ₽,5 шт.,"0,00 ₽",0 шт.,296 ₽,257 ₽,"261,25 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-z/8122079447.jpg,"Елочные украшения / шары на елку, 2,5 и 5,5 см, 33 шт ""Хоровод"" серебро",Зимнее волшебство,1126477029,елочные украшения,1 287 ₽,1 шт.,"0,00 ₽",0 шт.,1 322 ₽,754 ₽,"1 067,70 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-5/7324121957.jpg,"Рама для картин и зеркал Версаль 40 50 см, дерево, бело-золотая",Calligrata,860159579,багетная рама,1 286 ₽,1 шт.,"0,00 ₽",0 шт.,1 375 ₽,774 ₽,"947,07 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-r/7983752283.jpg,"Опрыскиватель аккумуляторный ТУНДРА, 3.7 В, 2 Ач, 1 л, 0.7 л/мин, гибкая насадка идеален для ухода за растениями",Тундра,1499636516,опрыскиватель для растений,1 275 ₽,1 шт.,"0,00 ₽",0 шт.,1 347 ₽,1 166 ₽,"1 251,57 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-r/6935732163.jpg,"Подарочный набор стопок, рюмок перевертышей, на 12 персон",Дарим Красиво,726001173,стопка,1 272 ₽,1 шт.,"9 288,00 ₽",8 шт.,1 303 ₽,1 128 ₽,"1 215,34 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-z/7236057059.jpg,"Ценник держатель, набор 100 шт, 3 х 4 см",,1244682893,ценник,1 260 ₽,4 шт.,"0,00 ₽",0 шт.,378 ₽,253 ₽,"322,03 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-r/7197191487.jpg,"Подставка для шапок, h-32, цвет чёрный",Sima-land,601266337,подставка для украшений,1 255 ₽,1 шт.,"5 615,00 ₽",7 шт.,1 346 ₽,764 ₽,"912,80 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-5/7976324129.jpg,"Очки для мотокросса, хамелеон / Очки для сноуборда, питбайка, квадроцикла",Сима-ленд,2202369429,маска горнолыжная,1 245 ₽,3 шт.,"0,00 ₽",0 шт.,543 ₽,371 ₽,"415,44 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-s/7013111104.jpg,"Мельница электрическая LuazON LET- 003, пластик, от батареек, зеленая",Luazon Home,490362138,мельница для специй,1 240 ₽,1 шт.,"0,00 ₽",0 шт.,1 327 ₽,1 155 ₽,"1 245,13 ₽"
https://cdn1.ozone.ru/s3/multimedia-y/6539217682.jpg,"Бисер круглый 12/0 ""Серебро, золото, бронза и чёрный"" 6 цветов х 10 грамм",Арт Узор,2202395285,бисер,1 236 ₽,6 шт.,"3 689,00 ₽",17 шт.,217 ₽,202 ₽,"209,59 ₽"
https://cdn1.ozone.ru/s3/multimedia-f/6664895835.jpg,"Будильник LuazON LB-16 ""Послание"", с маркером, подсветка зеленого цвета, белый",Luazon Home,306967225,настольные часы,1 233 ₽,1 шт.,"0,00 ₽",0 шт.,1 317 ₽,1 160 ₽,"1 231,60 ₽"
https://cdn1.ozone.ru/s3/multimedia-3/6450821595.jpg,"Сверло по металлу Тундра, HSS, цилиндрический хвостовик, 15*170 мм",Тундра,2202351109,сверло,1 230 ₽,3 шт.,"25 081,00 ₽",60 шт.,410 ₽,356 ₽,"385,60 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-7/7380154735.jpg,"Велозамок тросовый с ключом противоугонный навесной замок для велосипеда, самоката, коляски 100 см х 1 см",Lockland,2202344661,велозамок,1 223 ₽,4 шт.,"0,00 ₽",0 шт.,520 ₽,285 ₽,"349,67 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-8/8011879280.jpg,"Шкурка шлифовальная в листах ТУНДРА, на бумажной основе водост., 115 х 280, Р800, 10 шт",Тундра,2202382235,лист шлифовальный/шкурка,1 220 ₽,6 шт.,"0,00 ₽",0 шт.,271 ₽,199 ₽,"219,47 ₽"
https://cdn1.ozone.ru/s3/multimedia-u/6801148506.jpg,"Решетка вентиляционная ZEIN Люкс ЛР200, 200 x 200 мм, с сеткой, разъемная",Zein,2202386400,комплектующее для вентиляции,1 214 ₽,5 шт.,"1 419,00 ₽",5 шт.,243 ₽,210 ₽,"226,80 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-e/7120882346.jpg,"Браслет женский бижутерия ""Бусинки"" классика, искусственный жемчуг",Queen Fair,2202315985,браслет,1 213 ₽,6 шт.,"0,00 ₽",0 шт.,243 ₽,191 ₽,"205,27 ₽"
https://cdn1.ozone.ru/s3/multimedia-b/6054707843.jpg,"Стеклорез масляный Тундра, металлическая рукоятка",Тундра,2202363451,стеклорез,1 213 ₽,5 шт.,"0,00 ₽",0 шт.,297 ₽,226 ₽,"246,00 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-i/7848499194.jpg,"Ваза для цветов стеклянная / 3,05 л Трубка 15х20 / ваза для сухоцветов прозрачная",Evis,471756569,ваза,1 211 ₽,1 шт.,"31 864,00 ₽",25 шт.,1 219 ₽,1 047 ₽,"1 142,28 ₽"
https://cdn1.ozone.ru/s3/multimedia-n/6167822339.jpg,"Инструменты для творчества набор 7 шт, 14 см 20,8х8 см",,1158101605,инструмент для лепки,1 206 ₽,3 шт.,"723,00 ₽",1 шт.,583 ₽,401 ₽,"558,86 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-k/7970528612.jpg,"Маятник Ньютона, антистресс игрушка / металл пластик, 9х7,5х9 / шары Ньютона",Сима-ленд,2202382810,маятник-антистресс,1 206 ₽,3 шт.,"0,00 ₽",0 шт.,468 ₽,305 ₽,"424,89 ₽"
https://cdn1.ozone.ru/s3/multimedia-0/6828745644.jpg,"Удлиненная щетка для автомобиля от снега со скребком, 80 см",Pitstop,1259338010,сувенир,1 202 ₽,2 шт.,"0,00 ₽",0 шт.,1 055 ₽,565 ₽,"621,93 ₽"
https://cdn1.ozone.ru/s3/multimedia-w/6089657456.jpg,"Перчатки для езды на мототехнике, с защитными вставками, пара, размер L, черно-зеленый",TORSO,2202367695,мотоперчатки,1 197 ₽,2 шт.,"0,00 ₽",0 шт.,769 ₽,587 ₽,"621,00 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-c/7180888656.jpg,"Лампа настольная ""Даниэль"" 1х40Вт Е14 Risalux Светильник",Risalux,1662766616,настольный светильник,1 183 ₽,1 шт.,"0,00 ₽",0 шт.,1 255 ₽,1 094 ₽,"1 170,33 ₽"
https://cdn1.ozone.ru/s3/multimedia-1/6148006981.jpg,"Душевая стойка ZEIN H01, с пластиковой прозрачной мыльницей и крепежом, хром",Zein,382732425,держатель для душа,1 181 ₽,1 шт.,"0,00 ₽",0 шт.,1 197 ₽,1 085 ₽,"1 153,05 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-y/6911675242.jpg,"Часы настенные для интерьера ""Стаксель"" плавный ход, 30*30 см",Сима-ленд,192161056,настенные часы,1 180 ₽,1 шт.,"0,00 ₽",0 шт.,1 306 ₽,1 151 ₽,"1 232,77 ₽"
